current_path,module,kind,current_ref,current_sha256,openproj_commit,openproj_path,openproj_sha256,projectlibre_baseline,first_commit,claimed_origin,normalized_openproj_match,introduced_by,license,disposition,evidence,reviewer
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/costing/EarnedValueMethodType.java,projectlibre_core,java,HEAD,27f84d89347313f203a534b66603160bd6e2fd3f7815649deed7304b54a0b851,d2fa3c20a,openproj_core/src/com/projity/pm/costing/EarnedValueMethodType.java,940bc4f79b7746e9f65a604e78f0199b5665655dd92c8fcadefdcccd856075d5,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,true,REVIEW_REQUIRED,CPAL-1.0,KEEP_OPENPROJ,normalized content matches OpenProj baseline,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/costing/EarnedValueTaskSpecific.java,projectlibre_core,java,HEAD,0b4464604e6112d58470642c7e57012211e812ac3046f5e06a382b0506c2c8de,d2fa3c20a,openproj_core/src/com/projity/pm/costing/EarnedValueTaskSpecific.java,8a3bd64a8e153d41ad44d07f8064c2f733a53e6c742deb95fc4ac255622a1ac2,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,true,REVIEW_REQUIRED,CPAL-1.0,KEEP_OPENPROJ,normalized content matches OpenProj baseline,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/costing/EarnedValueValues.java,projectlibre_core,java,HEAD,4c6e82ce7574492823a0d4cc39ab9e3ae73df682658ec269555e07b24ef88784,d2fa3c20a,openproj_core/src/com/projity/pm/costing/EarnedValueValues.java,5e9e7cf88b7204e0260186c871c92a509f965b524d8883eda65c733a49971c25,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,true,REVIEW_REQUIRED,CPAL-1.0,KEEP_OPENPROJ,normalized content matches OpenProj baseline,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/costing/ExpenseType.java,projectlibre_core,java,HEAD,11807f96f1657dd2619f44632ed350c0d2ba8c56a42306ce9c344955c9c14c6d,d2fa3c20a,openproj_core/src/com/projity/pm/costing/ExpenseType.java,e2fb7e43bee0c361bdbdc4d9b46d3d53edec4a893ab1166bbf236435db28312f,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,true,REVIEW_REQUIRED,CPAL-1.0,KEEP_OPENPROJ,normalized content matches OpenProj baseline,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/costing/HasCostRateIndex.java,projectlibre_core,java,HEAD,ca493a8aebc4fc0f90afa4a228b00a2c601bc1b133b77d698c98be2638860c92,d2fa3c20a,openproj_core/src/com/projity/pm/costing/HasCostRateIndex.java,240b03024de0ef41b6591a5c009da4d6edb969bf3c982f17ff9fa8d4e2c7e2df,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,true,REVIEW_REQUIRED,CPAL-1.0,KEEP_OPENPROJ,normalized content matches OpenProj baseline,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/costing/HasExpenseType.java,projectlibre_core,java,HEAD,1fcc4a7ced66fe1d8859bd2385f6a57e71b00de84a443a2512771a1fc1bd1e0b,d2fa3c20a,openproj_core/src/com/projity/pm/costing/HasExpenseType.java,867be04347114966d9cd0a42d9853eb07eb4ea5f60252424858dcbeed17dc8fa,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,true,REVIEW_REQUIRED,CPAL-1.0,KEEP_OPENPROJ,normalized content matches OpenProj baseline,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/criticalpath/CriticalPath.java,projectlibre_core,java,HEAD,c000702b307db1324f7d1de693c0d8a5a6d5e9480f48f5ff861787000745258c,d2fa3c20a,openproj_core/src/com/projity/pm/criticalpath/CriticalPath.java,7e45f8dfdaad8d368fa4ecf03a1b4b1d6088174e099a279a7348d494330f52e2,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,false,REVIEW_REQUIRED,CPAL-1.0,REVIEW,OpenProj path exists but content differs; perform hunk-level comparison,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/criticalpath/CriticalPathFields.java,projectlibre_core,java,HEAD,07cba92de320d5dca968bb1a205133e128b1cdf89694d8f43bb2edd0e5063bdb,d2fa3c20a,openproj_core/src/com/projity/pm/criticalpath/CriticalPathFields.java,5ddcb36b1ac36af1f08d9377c600c425bc88fdf7c298b249840a69ea6b36381f,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,false,REVIEW_REQUIRED,CPAL-1.0,REVIEW,OpenProj path exists but content differs; perform hunk-level comparison,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/criticalpath/DateChangeStatus.java,projectlibre_core,java,HEAD,aea5ab6e12827fd23e6a40031193e2f62c60dbe51e3f545d59dfb77cdab26bbf,d2fa3c20a,openproj_core/src/com/projity/pm/criticalpath/DateChangeStatus.java,314df16326a943abc1862096fae02d890d170671760e6ed1de6c6321886b9027,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,true,REVIEW_REQUIRED,CPAL-1.0,KEEP_OPENPROJ,normalized content matches OpenProj baseline,
modules/projectlibre_core/src/main/java/com/projectlibre1/pm/criticalpath/HasSentinels.java,projectlibre_core,java,HEAD,28e81936e39950233264ac0d13272116a8e1ee1a49c0d91b5f28771d0edd01f9,d2fa3c20a,openproj_core/src/com/projity/pm/criticalpath/HasSentinels.java,087127a5cb7b64f1327eb8ec27a08fd01ab6cf4d7186b103a6ae131525770e09,0530be227f4a10c5545cce8d3db20ac5a4d76a66,REVIEW_REQUIRED,ProjectLibre,true,REVIEW_REQUIRED,CPAL-1.0,KEEP_OPENPROJ,normalized content matches OpenProj baseline,
